Term,Frequency
lösen,3
umfassende,8
Verhandlungsrunde,2
Interessenausgleich,2
Schwellen,1
Entwicklungsländern,5
erreicht,5
evaluiert,2
Regeln,13
Praxis,4
greifen,2
Subventionen,8
Dumping,1
überall,2
bekämpft,7
Praktiken,1
behindern,2
Aktuell,1
betrifft,2
Bau,3
Verkehrsmitteln,1
Zügen,1
Flugzeugen,1
Schiffen,1
Gründung,8
transatlantischen,7
Wirtschaftsraums,1
Anlauf,1
umfassendes,1
transatlantisches,1
Wirtschaftsraum,2
erreichen,19
Blaupause,1
Kanada,4
CETA,2
liefern,2
2017,1
abgeschlossen,1
ratifiziert,2
Mercosur,1
zügig,4
abschließen,1
ratifizieren,1
Zukunftsbranche,1
Tourismus,3
heimische,2
Tourismuswirtschaft,2
nachhaltig,11
Nachhaltiges,1
Reisen,3
verstärkt,3
Fokus,3
gerückt,1
gestärkte,1
Bewusstsein,2
genutzt,3
weiterzuentwickeln,2
pandemiefestes,1
Krisenmanagement,1
stärkt,7
strukturschwache,1
hinein,1
Wirtschaftsfaktor,1
gesunde,3
Branche,5
Millionen,4
Mitarbeiterinnen,1
Mitarbeiter,1
schwer,2
getroffen,2
Zusätzlich,3
zahlreiche,1
Bürokratiepflichten,2
starken,6
Zukunftskonzept,1
profitiert,2
gesamte,2
touristische,1
Wertschöpfungskette,3
Gastronomie,1
Einzelhandel,2
Vielfalt,12
ideologische,2
Denkschranken,1
Individualverkehr,1
ökologischer,1
Motor,1
fungiert,1
Ausbau,24
Breitbandversorgung,1
wachsenden,3
Online,8
Reisemarkt,1
Reiseinnovationen,1
abgehängt,1
Anreize,9
überflüssige,2
abschaffen,23
ENTLASTUNG,1
FAIRE,2
STEUERN,1
Sozialabgaben,2
wiederherstellen,1
Haushaltspolitik,3
aufzugeben,1
grundlegendes,1
Umdenken,1
Steuerpolitik,1
spürbar,2
unabdingbare,1
Voraussetzung,11
Impulse,4
Erholung,2
unseres,14
Landes,6
Punkt,1
gelingen,4
Coronapandemie,5
solide,4
investitionsorientierte,2
Grundgesetz,8
verankerten,2
Schuldenbremse,5
Generation,4
finanzpolitischen,2
Spielräume,2
verfügen,3
gerecht,8
Abgabenquote,3
40,2
Trendwende,1
Abgabenbelastung,1
Arbeitgeber,8
Angela,1
Merkel,1
Bundeskanzlerin,1
stieg,1
Steuerquote,1
plus,2
Sozialbeitragsquote,1
41,1
4,2
Amtsantritt,1
lag,2
38,1
8,1
Irrweg,1
verlassen,2
Leistungsträgerinnen,1
Leistungsträger,1
höhere,7
gehindert,1
Schwung,2
zielgerichtete,3
Entlastungen,1
gezielte,3
eröffnen,3
nachhaltiges,2
ermöglichen,47
nimmt,2
Steuerbelastung,1
inzwischen,3
weltweiten,1
Spitzenplatz,1
Industrienationen,1
verhindert,4
notwendige,7
Chancentarif,3
Mittelstandsbauch,2
Einkommensteuertarif,2
sogenannten,1
vollständig,11
leistungsgerechteren,1
linearen,1
Abschaffung,6
Schritten,2
2022,1
2024,1
steigt,1
Steuerlast,1
mittleren,2
Gehaltserhöhungen,1
greift,2
Hälfte,3
leistungsfeindlich,2
ungerecht,2
Spitzensteuersatz,3
Spitzenverdiener,1
Tarif,3
schrittweise,5
rechts,1
verschieben,1
90,1
000,12
Euro,19
Steuertarif,1
Steuerzahlerinnen,3
Steuerzahler,3
zusätzlich,6
gestreckt,1
Arbeitnehmerinnen,4
mittlerweile,1
Steuerpflichtige,1
1,10
fache,1
durchschnittlichen,1
Bruttogehalts,1
zahlen,3
momentan,1
1965,1
18,3
fachen,1
klar,10
Durchschnittsverdienerin,1
Durchschnittsverdiener,1
fast,1
höchsten,2
Steuersatz,1
Rädern,1
automatische,2
Steuererhöhungen,2
quasi,2
automatischen,2
regelmäßige,4
Anpassung,5
Steuertarifs,1
einschließlich,5
Freibeträge,3
Freigrenzen,1
Pauschbeträge,1
Gehältern,1
Räder,1
Korrektur,1
Einkommensteuertarifs,1
kommenden,2
erhebliche,1
Mehrbelastungen,1
Solidaritätszuschlag,3
versprochen,2
komplett,3
bleibt,17
Dauer,5
angelegte,3
Sondersteuer,1
2019,1
lief,1
Solidarpakt,1
Erhebung,3
Solidaritätszuschlags,2
rechtfertigen,1
anhaltende,1
30,2
Wiederherstellung,2
Deutschen,16
Einheit,2
verspielt,1
Vertrauen,5
Frage,2
Glaubwürdigkeit,1
zuletzt,1
hierbei,3
Entlastung,2
betroffenen,4
mittelständischen,1
Wirtschafts,1
Arbeitsmarktpolitik,1
einmalige,1
Vermögensabgabe,1
Wiederbelebung,3
mittelständisch,1
geprägte,1
Hemmschuh,1
Bekämpfung,8
Liquidität,2
unabhängig,23
Ertragslage,1
entzogen,2
Hinblick,1
Administrierbarkeit,1
Zusammenhang,4
ergebende,1
Easy,4
Tax,5
einfache,1
Steuererklärung,3
einführen,28
vorausgefüllte,1
digitalen,28
Service,2
Besteuerungsverfahren,1
umfangreicher,1
gesetzt,4
Rentnerinnen,1
Rentner,1
vollständige,4
Steuererklärungen,1
vorbereitet,3
Betroffenen,5
bestätigt,1
verarbeiteten,1
Daten,21
Angabe,1
zusätzlicher,4
Pflichtangaben,1
Finanzbehörden,1
Steuerpflichtigen,2
Frist,1
Selbstverständlich,1
Einklang,4
Prinzip,6
Datensouveränität,1
einzelnen,10
Bürgerin,2
Bürgers,1
freiwillige,5
Angaben,1
freiwillig,4
Steuerbescheide,1
Fällen,3
wenigen,1
gegeben,2
Bagatell,2
Lenkungssteuern,2
Schaumwein,1
Zwischenerzeugnissteuer,1
Biersteuer,1
Kaffeesteuer,1
Beibehaltung,1
verursacht,2
geringe,1
Einnahmen,5
Steuerliche,2
Erleichterungen,1
Homeoffice,6
vereinbarte,1
erhöhte,1
Werbungskostenpauschale,1
gewähren,3
gestellte,1
Büroausstattung,1
steuerfrei,1
hinaus,18
Interesse,7
Rechtssicherheit,6
rechtliche,6
tatsächlichen,3
Gegebenheiten,1
angepasst,4
mobile,2
geltenden,3
Vorschriften,3
angeglichen,1
Doppelbesteuerung,5
Renten,5
Beweislastumkehr,1
zugunsten,4
Rentenbezieherinnen,1
Rentenbezieher,1
Selbstständige,14
Gefahr,6
größten,5
Rentenkassen,1
Finanzverwaltung,1
detaillierte,1
individuelle,4
Berechnungen,1
vorlegen,1
ersichtlich,1
Besteuerung,5
Renteneinkünften,1
Spekulationsfrist,2
Sparerfreibetrag,2
private,8
Veräußerungsgewinne,1
Wertpapieren,1
anheben,2
Sparerinnen,3
Sparer,4
Kleinanleger,1
entlastet,3
langfristige,3
Kapitalanlage,1
attraktiver,6
Sparen,2
Altersvorsorge,24
Wachstumsgewinnen,1
teilhaben,1
Mitarbeiterkapitalbeteiligung,3
Eigentumsturbo,1
langfristigen,3
Vermögensaufbau,1
etablieren,3
Mitarbeiterbeteiligungsprogramme,1
unerlässlich,3
qualifizierte,4
Fachkräfte,5
gewinnen,2
schlechten,1
hierzulande,1
Veräußerung,2
Unternehmensbeteiligungen,1
entsprechen,4
Anteilsklasse,1
Mitarbeiterkapitalbeteiligungen,1
teuren,2
administrativ,1
aufwendigen,1
Prozess,3
Übertragung,1
GmbH,1
Anteilen,1
INVESTITIONEN,1
ZUKUNFT,2
liegenden,1
bergen,2
zukunftsorientierte,3
Neuausrichtung,1
überzeugt,5
ebnet,1
Zukunftsinvestitionen,2
entfachen,1
INVEST,1
GERMANY,1
Bruttoinlandsprodukt,1
2025,3
Bruttoinlandsprodukts,3
privat,2
vorrangig,3
sonstigen,1
steuer,2
wirtschaftspolitischen,1
Instrumente,6
Höchstens,1
50,3
Sozialausgaben,3
Bundeshaushalt,3
Höhe,4
grundsätzlich,8
Bundeshaushalts,3
deckeln,1
bindet,3
Haushaltes,1
Folge,1
Betroffene,1
originäre,1
Kernaufgaben,4
innere,3
modernen,3
Hintergrund,4
gedrängt,1
Tilgungsturbo,1
Schulden,6
Schuldenstandsquote,1
gemäß,1
Maastricht,3
Kriterien,11
60,3
Marke,1
reagiert,3
Staatsverschuldung,1
Bruttoinlandsproduktes,1
gesunken,1
Krisen,6
handlungsfähig,3
hinterlassen,1
Kindern,10
Finanzen,2
Zukunftsfonds,2
up,3
ausbauen,14
Dachfonds,3
Anstatt,1
bereitzustellen,1
privates,1
Kapital,3
Investition,2
baut,1
Brücke,1
derzeitigen,2
Hindernisse,3
hohe,3
Eigenkapitalanforderungen,1
Investitionssummen,1
institutionellen,2
Investorinnen,2
Investoren,1
Family,1
Offices,1
erfahrenen,1
Privatanlegerinnen,1
Privatanlegern,1
sammelt,1
Geld,6
hauptsächlich,1
Venture,2
Capital,2
Fonds,5
profitieren,8
hiesigen,1
Gründungserfolgen,1
Gründungszuschuss,2
Lebenslagen,2
branchenunabhängigen,1
entkoppelt,1
vorhandenen,1
Arbeitslosigkeit,1
gewährt,5
Gründer,2
Familienphase,1
einmalig,4
Startphase,1
bewerben,1
tragfähiges,1
Existenzgründungskonzept,1
vorliegen,1
Vorbild,14
NRW,1
Gründerstipendium,1
sozialen,13
Absicherung,3
befristet,1
maximal,4
15,3
Monate,4
Pauschale,3
300,2
gesetzlichen,17
Sozialversicherungen,4
ermöglicht,15
Krankenkassenbeiträge,1
gesetzlich,3
versicherten,1
anhand,1
Einkommens,1
bemessen,1
Gründungen,2
Besserer,1
Frauen,22
Einwerbung,1
Einrichtung,4
Form,12
öffentlich,5
privaten,10
Partnerschaft,5
Netzwerkes,1
weiblichen,1
Business,2
Angels,1
gezielt,12
Gründungsvorhaben,1
gleichen,2
REGELN,2
INTERNATIONALEN,1
BESTEUERUNG,1
Gemeinwesens,2
gerechtes,1
Steuersystem,1
Klare,4
Steuerwettbewerb,2
entsprechende,9
Arbeiten,5
G20,1
Alleingang,1
Wettbewerbsverzerrungen,2
Verlust,2
Arbeitsplätzen,1
führen,13
genauso,6
Steuerverluste,1
Verlagerungen,1
drohen,1
zusätzliche,8
Steuerlasten,1
belasteten,1
Betriebe,5
Transparenter,1
vergleichbar,2
ausdrücklich,5
Zulässigkeit,1
sogenannter,5
Deals,2
Mitgliedstaats,1
individuell,2
aushandeln,1
transparenten,1
Steuersatzwettbewerb,1
Basis,16
vergleichbarer,1
Bemessungsgrundlagen,1
Steuerhinterziehung,2
abgestimmt,3
bekämpfen,8
unlauteres,1
Steuerdumping,1
wirksamen,2
verhältnismäßigen,2
Mitteln,3
Exportnation,2
abgestimmte,3
Verteilung,3
Besteuerungsrechte,1
Zeiten,3
Geschäftsmodelle,6
sowohl,10
ungerechtfertigte,2
Nichtbesteuerung,1
schädliche,1
Erträgen,1
sicherzustellen,3
Steueraufkommen,1
gesichert,4
BILDUNG,2
CHANCEN,3
AUFSTIEG,1
SELBSTBESTIMMUNG,1
elementare,3
individuelles,2
Vorankommen,1
selbstbestimmtes,5
hängt,1
volles,1
Potential,8
ausschöpfen,1
arbeiten,5
modernste,1
Standard,2
Mehrwertsteuereinnahmen,1
Prozentpunkt,1
Mehrwertsteueraufkommens,1
Bund,24
Länder,21
Einbeziehung,3
Staatsvertrag,1
verpflichten,7
5,4
Milliarden,3
Bildungssektor,1
Bildungssystems,1
dringend,7
notwendig,5
Top,1
Zukunftsfähiger,1
Bildungsföderalismus,2
bundesweite,8
Abschlussprüfungen,2
Mittlere,1
Reife,1
Abitur,1
qualitativ,5
hochwertige,7
Bildungsstandards,3
Qualitätssicherung,1
Vergleichbarkeit,3
Reform,10
Grundgesetzänderung,1
Sicherstellung,3
Qualität,7
Leistungsfähigkeit,2
Weiterentwicklung,7
Bildungswesens,1
wirken,2
16,7
verschiedene,2
Schulsysteme,1
Lehrpläne,1
Prüfungsordnungen,1
sicher,4
Schulbildung,1
deutschlandweit,1
höchste,1
zukunftssichere,1
Schulen,22
Arbeitsmöglichkeiten,1
fürs,1
Lehren,3
Lernen,9
Verfügung,11
Autonomie,2
pädagogische,2
personelle,1
Freiheiten,1
Schule,9
Budget,3
Verwendung,2
autonom,3
entscheidet,1
Schulautonomie,1
Unterricht,3
modularen,3
organisiert,5
Schülerin,1
Schüler,8
zugeschnitten,1
Schülerinnen,11
größere,4
Wahlfreiheit,8
unterschiedlichen,3
Leistungsniveaus,1
fächerübergreifenden,1
Projekten,1
Personalentscheidungen,1
Auswahl,1
Lehrmittel,1
trifft,4
Ort,9
freier,2
Trägerschaft,3
gleichwertige,3
Unterstützung,12
werben,1
Schulfreiheitsgesetze,1
Ländern,16
Möglichkeiten,14
Profilentwicklung,1
Niveau,1
Bildungseinrichtungen,4
orientieren,7
exzellente,2
Fortbildungen,4
Schul,1
Unterrichtsentwicklung,1
PISA,1
Studie,1
Kinder,12
größerer,2
Gestaltungs,1
Entscheidungsfreiheit,2
Leistungen,7
erzielen,1
Kitas,4
finanziell,4
Säulen,9
Sockelbetrag,3
Größe,1
Bildungsgutscheine,2
pro,1
Kind,7
Zuschuss,4
Dream,2
niedrigem,2
sozioökonomischen,1
Status,6
feste,3
garantiert,3
Überlebensfähigkeit,1
kleineren,1
bedarfsorientierte,1
gesunder,1
gefördert,4
Eltern,12
gestärkt,7
Schließlich,3
eigenverantwortlich,3
Förderkonzepte,1
Jugendliche,2
Förderbedarf,1
anbieten,6
Gleichzeitig,8
Auseinanderdriften,1
Schulqualität,1
Talentschulen,3
Nachteile,2
modernster,1
Pädagogik,1
bester,1
Ausstattung,4
aufbauen,4
kinderreichen,1
Stadtteilen,1
erfolgreichen,2
Konzept,2
Nordrhein,1
Westfalen,1
Behinderung,4
Lernschwäche,2
bestmöglich,2
Regelunterricht,1
Klassen,1
liegen,2
Erhalt,2
möchten,9
Bestmögliche,1
Potentialen,1
Frühkindliche,1
frühkindlichen,3
ambitionierte,1
gemeinsame,12
Betreuungsschlüssel,1
frühkindliche,1
Bildungsinhalte,1
verständigen,2
Attraktivität,4
Erzieherberufs,1
schlagen,6
