Term,Frequency,Source
aufstiegschancen,3,FDP
bietet,9,FDP
eigeninitiative,1,FDP
übernahme,1,FDP
persönlicher,2,FDP
einzelnen,14,FDP
stärken,71,FDP
verzettelte,1,FDP
bürokratie,17,FDP
handlungsfähigen,3,FDP
rechtsstaat,7,FDP
sicherheit,21,FDP
bürgerrechte,5,FDP
gleichermaßen,3,FDP
schützt,5,FDP
freiheit,34,FDP
erschreckenden,1,FDP
art,2,FDP
weise,5,FDP
untergeordnet,1,FDP
nachricht,1,FDP
schicksal,1,FDP
hand,11,FDP
mission,2,FDP
steckt,5,FDP
kraft,6,FDP
umfassenden,4,FDP
modernisierung,15,FDP
deutschlands,9,FDP
kräften,2,FDP
freien,9,FDP
wissenschaft,11,FDP
sozialen,20,FDP
marktwirtschaft,14,FDP
schnelle,8,FDP
entwicklung,38,FDP
impfstoffen,2,FDP
covid,5,FDP
19,5,FDP
deutsche,19,FDP
forscherinnen,1,FDP
forscher,2,FDP
zeigt,4,FDP
harte,1,FDP
arbeit,21,FDP
entschlossenheit,1,FDP
erfindergeist,4,FDP
berge,1,FDP
versetzen,3,FDP
grundlage,21,FDP
wichtiger,10,FDP
holen,2,FDP
neustart,1,FDP
richtige,4,FDP
richtung,4,FDP
mitte,4,FDP
vorne,4,FDP
veränderung,2,FDP
nötig,2,FDP
fortschritt,7,FDP
alte,1,FDP
irrwege,2,FDP
finden,5,FDP
neuerdings,1,FDP
zulauf,1,FDP
versuchen,2,FDP
merkmale,2,FDP
herkunft,7,FDP
kultur,16,FDP
religion,4,FDP
sexuelle,4,FDP
orientierung,4,FDP
hautfarbe,1,FDP
spalten,2,FDP
gegeneinander,2,FDP
stellung,2,FDP
bringen,11,FDP
linke,1,FDP
erfolg,6,FDP
einkommen,11,FDP
vermögen,2,FDP
beides,2,FDP
heißt,2,FDP
aufholwettbewerb,3,FDP
entfesseln,3,FDP
kräfte,3,FDP
weltbester,2,FDP
nutzen,26,FDP
agilität,1,FDP
wachsen,2,FDP
vorreiter,2,FDP
gründen,9,FDP
neu,13,FDP
digitalisierung,26,FDP
pflichtprogramm,2,FDP
gesundheitswesen,11,FDP
arbeitsmarkt,10,FDP
schubkraft,1,FDP
bewältigung,3,FDP
herausforderungen,26,FDP
europa,29,FDP
menschenrechte,21,FDP
weltweit,26,FDP
german,5,FDP
mut,2,FDP
klimaschutz,16,FDP
nachhaltige,19,FDP
aufbau,7,FDP
eigentum,7,FDP
zukunftssicherung,1,FDP
freie,386,FDP
demokraten,375,FDP
setzen,79,FDP
prosperität,1,FDP
gegenmodell,2,FDP
dirigistischen,1,FDP
klein,2,FDP
verzettelt,1,FDP
erziehungsberechtigter,1,FDP
bürgerinnen,36,FDP
bürger,30,FDP
aufführt,1,FDP
stehen,28,FDP
lebendige,2,FDP
kulturszene,1,FDP
entfaltung,2,FDP
individueller,5,FDP
kreativität,3,FDP
gesellschaft,23,FDP
zusammenhalten,1,FDP
vorgegebenen,1,FDP
lebensentwurf,1,FDP
anpassen,6,FDP
respektieren,1,FDP
persönliche,3,FDP
entscheidung,9,FDP
erkennen,5,FDP
krisenzeiten,4,FDP
gelten,10,FDP
privilegien,2,FDP
abgetan,2,FDP
belieben,1,FDP
zugeteilt,2,FDP
vorenthalten,2,FDP
eigenverantwortung,7,FDP
privatinitiative,1,FDP
individuums,1,FDP
gemeinsam,18,FDP
wertepartnern,1,FDP
globalen,9,FDP
westens,1,FDP
entschlossen,3,FDP
verteidigt,1,FDP
globale,5,FDP
kooperation,8,FDP
wohle,1,FDP
befördert,1,FDP
agenda,6,FDP
2030,7,FDP
vereinten,12,FDP
nationen,13,FDP
17,3,FDP
zielen,2,FDP
umfassendsten,1,FDP
versuch,1,FDP
menschheit,2,FDP
verschiedenen,4,FDP
aspekte,1,FDP
nachhaltiger,3,FDP
global,4,FDP
verbindendes,1,FDP
zielsystem,1,FDP
chance,13,FDP
zukünftige,6,FDP
generationen,9,FDP
beitrag,17,FDP
leistet,4,FDP
frieden,5,FDP
dient,4,FDP
weltoffenheit,2,FDP
toleranz,6,FDP
ideen,11,FDP
lebendigen,5,FDP
demokratie,20,FDP
selbstbewusster,1,FDP
ziel,34,FDP
gestalten,13,FDP
unserem,7,FDP
geben,20,FDP
mitwirken,2,FDP
stimme,4,FDP
fortschritts,3,FDP
bürgern,8,FDP
bewältigen,6,FDP
potentiale,4,FDP
legen,3,FDP
programm,5,FDP
überzeugung,3,FDP
taktik,1,FDP
farbenspiele,1,FDP
treten,10,FDP
bundestagswahl,1,FDP
koalitionen,1,FDP
richtigen,4,FDP
seriöse,2,FDP
bundesregierung,9,FDP
gebildet,2,FDP
wert,5,FDP
politischen,11,FDP
angemessene,3,FDP
bedeutung,9,FDP
erhält,4,FDP
möglichst,7,FDP
umzusetzen,2,FDP
gewählt,2,FDP
kanzler,1,FDP
kanzlerin,1,FDP
stellen,31,FDP
wahl,7,FDP
sozialer,4,FDP
umfassender,1,FDP
modern,1,FDP
agiert,1,FDP
selbstzufrieden,1,FDP
altmodisch,1,FDP
demokratien,6,FDP
usa,6,FDP
kurs,1,FDP
kräftiges,1,FDP
anhaltendes,2,FDP
wirtschaftswachstum,5,FDP
systemische,2,FDP
wettbewerber,2,FDP
autoritäre,2,FDP
regime,3,FDP
chinas,6,FDP
reklamieren,1,FDP
erfolgreichere,1,FDP
wege,4,FDP
umso,2,FDP
entschlossener,1,FDP
fundament,2,FDP
weltspitze,2,FDP
wettbewerbsfähigkeit,3,FDP
steuern,11,FDP
abgaben,5,FDP
investieren,7,FDP
massiv,4,FDP
grundlagen,3,FDP
aufstieg,7,FDP
lassen,12,FDP
infrastrukturen,2,FDP
länger,6,FDP
verkommen,1,FDP
bauen,8,FDP
freihandels,3,FDP
verhältnis,6,FDP
privat,4,FDP
leistungsbereitschaft,1,FDP
fördernde,1,FDP
balance,3,FDP
mittelstand,7,FDP
selbstständigen,5,FDP
start,14,FDP
ups,11,FDP
raum,13,FDP
kreative,2,FDP
lösungen,13,FDP
ermutigen,2,FDP
erschweren,2,FDP
sicherung,2,FDP
stärkung,20,FDP
wirtschaft,25,FDP
coronakrise,11,FDP
fahrt,1,FDP
verloren,2,FDP
trotz,3,FDP
wachstumskurs,1,FDP
zukunftsfähigen,2,FDP
standort,3,FDP
arbeitsplätze,8,FDP
brauchen,30,FDP
echte,6,FDP
modernisierungsimpulse,1,FDP
innovationskraft,4,FDP
entlasten,16,FDP
negative,4,FDP
gewinnsteuer,3,FDP
wirtschaftskrisen,1,FDP
fordern,110,FDP
kurzfristige,1,FDP
liquiditätshilfe,1,FDP
direkt,4,FDP
finanzamt,3,FDP
ausgezahlt,1,FDP
steuervorauszahlungen,1,FDP
konten,1,FDP
unternehmen,72,FDP
abzubuchen,1,FDP
überweisen,1,FDP
finanzämter,1,FDP
beziehungsweise,14,FDP
körperschaftsteuer,3,FDP
liquiditätssoforthilfe,1,FDP
bemessungsgrundlage,2,FDP
letzte,1,FDP
steuerbescheid,1,FDP
schritt,11,FDP
deutlich,10,FDP
erweiterte,1,FDP
verlustverrechnung,1,FDP
gewinnen,4,FDP
vergangener,1,FDP
künftiger,2,FDP
eingeführt,2,FDP
wirtschaftlichen,11,FDP
unbürokratische,1,FDP
hilfen,4,FDP
verhindern,27,FDP
unnötige,5,FDP
jobverluste,1,FDP
insolvenzen,1,FDP
entfesselungspakt,2,FDP
maßnahmen,18,FDP
bürokratieentlastung,1,FDP
gebündelt,5,FDP
vorangetrieben,1,FDP
stetig,1,FDP
wachsende,1,FDP
bürokratiedschungel,1,FDP
belastet,1,FDP
deutschen,32,FDP
bremst,2,FDP
initiativen,9,FDP
bürokratieentlastungsgesetz,1,FDP
iv,2,FDP
strategie,8,FDP
einheitliche,13,FDP
ansprechpartner,3,FDP
2,11,FDP
0,8,FDP
verlegung,1,FDP
sozialversicherungsbeiträge,1,FDP
folgemonat,1,FDP
gesamtstrategie,3,FDP
gilt,13,FDP
schlankere,2,FDP
vergabe,2,FDP
register,3,FDP
informationsbestimmungen,1,FDP
belastung,4,FDP
geplante,2,FDP
regelungen,14,FDP
doppelten,3,FDP
umfang,6,FDP
belastungen,2,FDP
abgebaut,6,FDP
one,6,FDP
two,1,FDP
out,3,FDP
europäischer,12,FDP
ebene,14,FDP
unternehmensteuerlast,1,FDP
25,4,FDP
prozent,26,FDP
senken,7,FDP
steuerliche,6,FDP
oecd,4,FDP
durchschnitt,1,FDP
organisation,4,FDP
zusammenarbeit,14,FDP
zuge,5,FDP
angestrebten,4,FDP
harmonisierung,1,FDP
unternehmensbesteuerung,1,FDP
sonderweg,1,FDP
gewerbesteuer,1,FDP
beenden,8,FDP
finanzierung,16,FDP
kommunen,12,FDP
gestellt,4,FDP
kommunalen,1,FDP
zuschlag,1,FDP
eigenem,1,FDP
hebesatzrecht,1,FDP
zuvor,2,FDP
abgesenkte,1,FDP
einkommensteuer,3,FDP
höheren,5,FDP
anteil,6,FDP
umsatzsteuer,1,FDP
zudem,47,FDP
mindestbesteuerung,1,FDP
einsetzen,8,FDP
fairness,6,FDP
internationalen,20,FDP
konzernen,1,FDP
aggressive,1,FDP
steuervermeidung,1,FDP
betreiben,1,FDP
mittelständlern,1,FDP
forschung,12,FDP
steuerlich,3,FDP
stärker,23,FDP
dauerhaft,6,FDP
soziale,10,FDP
gewährleisten,8,FDP
innovative,17,FDP
produkte,2,FDP
dienstleistungen,4,FDP
entwickeln,8,FDP
steuerrecht,3,FDP
leisten,18,FDP
rahmenbedingungen,16,FDP
bereitstellung,3,FDP
wagniskapital,7,FDP
verbessert,4,FDP
schaffen,62,FDP
bessere,28,FDP
bedingungen,3,FDP
innovationen,18,FDP
stete,1,FDP
wandel,3,FDP
erfordert,4,FDP
aufholen,2,FDP
unterstützt,8,FDP
verbesserte,2,FDP
abschreibungsbedingungen,2,FDP
verbessern,16,FDP
hierzu,8,FDP
degressive,1,FDP
abschreibung,5,FDP
afa,1,FDP
bewegliche,1,FDP
wirtschaftsgüter,2,FDP
verstetigt,2,FDP
digitale,38,FDP
güter,2,FDP
verkürzte,1,FDP
abschreibungsfristen,1,FDP
höchstens,3,FDP
festgesetzt,1,FDP
sofern,3,FDP
sofortabschreibung,2,FDP
betracht,2,FDP
grenze,2,FDP
geringwertiger,1,FDP
erhöhen,18,FDP
investitionen,16,FDP
wohnungsbau,2,FDP
lineare,2,FDP
fläche,1,FDP
halten,8,FDP
langfristig,8,FDP
sichern,12,FDP
insbesondere,39,FDP
mittlere,9,FDP
industrie,8,FDP
handwerk,3,FDP
handel,4,FDP
ländlichen,7,FDP
regionen,9,FDP
perspektiven,4,FDP
voraussetzungen,6,FDP
hierfür,11,FDP
flächendeckend,3,FDP
zukunftstaugliche,1,FDP
infrastruktur,17,FDP
leistungsfähige,1,FDP
verkehrswege,3,FDP
starkes,3,FDP
duales,4,FDP
abwanderung,2,FDP
überalterung,1,FDP
fachkräftemangel,4,FDP
hart,3,FDP
moderne,14,FDP
ansätze,2,FDP
hidden,1,FDP
champions,2,FDP
erbgänge,1,FDP
substanzbesteuerung,2,FDP
gefährdet,5,FDP
lehnen,30,FDP
verschärfung,2,FDP
erbschaftsteuer,3,FDP
wiedereinführung,2,FDP
vermögensteuer,2,FDP
corona,3,FDP
folgen,10,FDP
überwinden,9,FDP
rückkehr,1,FDP
marktwirtschaftlichen,5,FDP
prinzipien,5,FDP
bedingt,2,FDP
unverschuldet,1,FDP
finanzielle,9,FDP
not,1,FDP
geraten,3,FDP
hilfsprogramme,1,FDP
nothilfen,1,FDP
rettungsschirmen,1,FDP
einzelne,6,FDP
lässt,3,FDP
aufrechterhalten,2,FDP
ineffizient,1,FDP
verzerrt,1,FDP
reduziert,4,FDP
bestehenden,8,FDP
betrieben,4,FDP
gründerinnen,4,FDP
gründern,2,FDP
wächst,3,FDP
marktmacht,4,FDP
einzelner,4,FDP
preisen,5,FDP
konsumentinnen,1,FDP
konsumenten,2,FDP
fehlanreizen,1,FDP
führt,4,FDP
national,4,FDP
international,15,FDP
vermeiden,6,FDP
verflechtungen,1,FDP
markt,3,FDP
staatswirtschaft,1,FDP
entstehen,5,FDP
unterstützen,34,FDP
gleichmäßig,1,FDP
verzerren,2,FDP
tragenden,1,FDP
beitragen,8,FDP
beteiligungsbremse,2,FDP
anteile,1,FDP
telekom,2,FDP
verkaufen,1,FDP
staatliche,13,FDP
beteiligungen,5,FDP
unternehmensanteile,1,FDP
öffentlichen,29,FDP
daseinsvorsorge,1,FDP
gehören,9,FDP
verkauft,1,FDP
erlös,1,FDP
investiert,6,FDP
notwendigkeit,1,FDP
überprüft,4,FDP
perspektivisch,3,FDP
zulässig,2,FDP
entsprechend,7,FDP
europäische,36,FDP
wettbewerbsordnung,2,FDP
faire,12,FDP
regelbasierte,1,FDP
schützen,19,FDP
internationale,17,FDP
standards,12,FDP
gehört,12,FDP
einsatz,14,FDP
protektionismus,4,FDP
europäischen,67,FDP
binnenmarkt,7,FDP
eu,128,FDP
entsenderichtlinie,1,FDP
vereinfachen,11,FDP
arbeitnehmer,10,FDP
entsendegesetz,1,FDP
entbürokratisieren,5,FDP
junge,9,FDP
mittelständische,3,FDP
wettbewerbsbedingungen,7,FDP
bereich,10,FDP
digitalwirtschaft,2,FDP
konzentration,2,FDP
etablierte,1,FDP
behindert,2,FDP
echten,7,FDP
schadet,3,FDP
verbraucherinnen,5,FDP
verbrauchern,4,FDP
zukunftsfähigkeit,2,FDP
standortes,2,FDP
wenden,1,FDP
entschieden,7,FDP
politische,12,FDP
förderung,25,FDP
nationalen,9,FDP
derlei,1,FDP
alleingänge,4,FDP
innerhalb,14,FDP
binnenmarktes,1,FDP
bremsen,2,FDP
skalierbarkeit,1,FDP
senkt,1,FDP
letztlich,4,FDP
amerikanischer,1,FDP
chinesischer,2,FDP
konkurrenz,2,FDP
sehen,15,FDP
lernendes,1,FDP
system,8,FDP
modell,8,FDP
ökonomische,2,FDP
friedensordnung,3,FDP
wirksame,8,FDP
regulierung,10,FDP
gatekeeper,5,FDP
kontrolle,12,FDP
zugänge,1,FDP
internet,12,FDP
kontrollieren,2,FDP
betreiber,1,FDP
suchmaschine,1,FDP
soziales,2,FDP
netzwerk,2,FDP
dominierende,1,FDP
handelsplattform,1,FDP
mittlerer,1,FDP
entscheidend,3,FDP
beeinflussen,1,FDP
speziellen,2,FDP
unterworfen,1,FDP
beispielsweise,12,FDP
suchergebnissen,1,FDP
begünstigen,2,FDP
interoperabilität,4,FDP
angeboten,5,FDP
einschränken,1,FDP
geschäftsdaten,1,FDP
partnerinnen,4,FDP
partner,6,FDP
unlauterer,1,FDP
vorteil,1,FDP
agierender,1,FDP
rechts,5,FDP
behörden,10,FDP
mitgliedstaaten,19,FDP
ausgehen,1,FDP
pläne,2,FDP
schaffung,12,FDP
digital,8,FDP
markets,1,FDP
act,1,FDP
union,13,FDP
kartellrecht,1,FDP
ergänzende,1,FDP
geschaffen,6,FDP
fürsprecher,2,FDP
regelbasierten,4,FDP
abschluss,3,FDP
weiterer,3,FDP
freihandelsabkommen,5,FDP
vorantreibt,1,FDP
europas,12,FDP
protektionistischen,1,FDP
tendenzen,2,FDP
entgegentreten,3,FDP
aktive,5,FDP
führungsrolle,2,FDP
handelsverträgen,1,FDP
investitionsabkommen,2,FDP
investitionsbedingungen,1,FDP
einnehmen,2,FDP
institutionelle,2,FDP
verankerung,1,FDP
freihandelsordnung,1,FDP
vorantreiben,9,FDP
handelspolitik,2,FDP
nächsten,2,FDP
gewicht,4,FDP
verleihen,1,FDP
staatsministerin,1,FDP
staatsminister,1,FDP
außenhandel,1,FDP
bundesministerium,3,FDP
energie,11,FDP
freihandel,2,FDP
umbenennen,1,FDP
handlungsfähigkeit,6,FDP
erhalten,26,FDP
japan,3,FDP
abkommen,3,FDP
zustimmung,2,FDP
parlaments,1,FDP
regionalen,2,FDP
parlamenten,1,FDP
benötigt,2,FDP
marktverzerrungen,1,FDP
vorgehen,5,FDP
subventionierte,1,FDP
staatsunternehmen,1,FDP
grundsatz,4,FDP
reziprozität,1,FDP
wonach,1,FDP
zugang,20,FDP
umgekehrt,1,FDP
fall,10,FDP
wto,7,FDP
reformieren,10,FDP
bewährten,2,FDP
rahmen,14,FDP
welthandelsorganisation,3,FDP
weiterentwickeln,15,FDP
reformprozess,1,FDP
transparent,4,FDP
inklusiv,1,FDP
nationale,7,FDP
willkürzölle,1,FDP
tarifäre,1,FDP
handelshemmnisse,2,FDP
blockade,1,FDP
streitbeilegung,1,FDP
schnellstmöglich,4,FDP
lösen,3,FDP
umfassende,8,FDP
verhandlungsrunde,2,FDP
interessenausgleich,2,FDP
schwellen,1,FDP
entwicklungsländern,5,FDP
erreicht,5,FDP
evaluiert,2,FDP
regeln,17,FDP
praxis,4,FDP
greifen,2,FDP
subventionen,8,FDP
dumping,1,FDP
überall,2,FDP
bekämpft,7,FDP
praktiken,1,FDP
behindern,2,FDP
aktuell,4,FDP
betrifft,2,FDP
bau,3,FDP
verkehrsmitteln,1,FDP
zügen,1,FDP
flugzeugen,1,FDP
schiffen,1,FDP
gründung,8,FDP
transatlantischen,7,FDP
wirtschaftsraums,1,FDP
anlauf,1,FDP
umfassendes,1,FDP
transatlantisches,1,FDP
wirtschaftsraum,2,FDP
erreichen,19,FDP
blaupause,1,FDP
kanada,4,FDP
ceta,2,FDP
liefern,2,FDP
2017,1,FDP
abgeschlossen,1,FDP
ratifiziert,2,FDP
mercosur,1,FDP
zügig,4,FDP
abschließen,1,FDP
ratifizieren,1,FDP
zukunftsbranche,1,FDP
tourismus,3,FDP
heimische,2,FDP
tourismuswirtschaft,2,FDP
nachhaltig,11,FDP
nachhaltiges,3,FDP
reisen,3,FDP
verstärkt,3,FDP
fokus,3,FDP
gerückt,1,FDP
gestärkte,1,FDP
bewusstsein,2,FDP
genutzt,3,FDP
weiterzuentwickeln,2,FDP
pandemiefestes,1,FDP
krisenmanagement,1,FDP
stärkt,7,FDP
strukturschwache,1,FDP
hinein,1,FDP
wirtschaftsfaktor,1,FDP
gesunde,3,FDP
branche,5,FDP
millionen,4,FDP
mitarbeiterinnen,1,FDP
mitarbeiter,1,FDP
schwer,2,FDP
getroffen,2,FDP
zusätzlich,9,FDP
zahlreiche,1,FDP
bürokratiepflichten,2,FDP
starken,7,FDP
zukunftskonzept,1,FDP
profitiert,2,FDP
gesamte,2,FDP
touristische,1,FDP
wertschöpfungskette,3,FDP
gastronomie,1,FDP
einzelhandel,2,FDP
vielfalt,12,FDP
ideologische,2,FDP
denkschranken,1,FDP
individualverkehr,1,FDP
ökologischer,1,FDP
motor,1,FDP
fungiert,1,FDP
ausbau,24,FDP
breitbandversorgung,1,FDP
wachsenden,3,FDP
online,10,FDP
reisemarkt,1,FDP
reiseinnovationen,1,FDP
abgehängt,1,FDP
anreize,9,FDP
überflüssige,2,FDP
abschaffen,23,FDP
entlastung,3,FDP
sozialabgaben,2,FDP
wiederherstellen,1,FDP
haushaltspolitik,3,FDP
aufzugeben,1,FDP
grundlegendes,1,FDP
umdenken,1,FDP
steuerpolitik,1,FDP
spürbar,2,FDP
unabdingbare,1,FDP
voraussetzung,11,FDP
impulse,4,FDP
erholung,2,FDP
unseres,14,FDP
landes,6,FDP
punkt,1,FDP
gelingen,5,FDP
coronapandemie,5,FDP
solide,4,FDP
investitionsorientierte,2,FDP
grundgesetz,8,FDP
verankerten,2,FDP
schuldenbremse,5,FDP
generation,4,FDP
finanzpolitischen,2,FDP
spielräume,2,FDP
verfügen,3,FDP
gerecht,8,FDP
abgabenquote,3,FDP
40,2,FDP
trendwende,1,FDP
abgabenbelastung,1,FDP
arbeitgeber,8,FDP
angela,1,FDP
merkel,1,FDP
bundeskanzlerin,1,FDP
stieg,1,FDP
steuerquote,1,FDP
plus,2,FDP
sozialbeitragsquote,1,FDP
41,1,FDP
4,2,FDP
amtsantritt,1,FDP
lag,2,FDP
38,1,FDP
8,1,FDP
irrweg,1,FDP
verlassen,2,FDP
leistungsträgerinnen,1,FDP
leistungsträger,1,FDP
höhere,9,FDP
gehindert,1,FDP
schwung,2,FDP
zielgerichtete,3,FDP
entlastungen,1,FDP
gezielte,3,FDP
eröffnen,3,FDP
ermöglichen,47,FDP
nimmt,2,FDP
steuerbelastung,1,FDP
inzwischen,3,FDP
weltweiten,1,FDP
spitzenplatz,1,FDP
industrienationen,1,FDP
verhindert,4,FDP
notwendige,7,FDP
chancentarif,3,FDP
mittelstandsbauch,2,FDP
einkommensteuertarif,2,FDP
sogenannten,1,FDP
vollständig,11,FDP
leistungsgerechteren,1,FDP
linearen,1,FDP
abschaffung,6,FDP
schritten,2,FDP
2022,1,FDP
2024,1,FDP
steigt,1,FDP
steuerlast,1,FDP
mittleren,2,FDP
gehaltserhöhungen,1,FDP
greift,2,FDP
hälfte,3,FDP
leistungsfeindlich,2,FDP
ungerecht,2,FDP
spitzensteuersatz,3,FDP
spitzenverdiener,1,FDP
tarif,3,FDP
schrittweise,5,FDP
verschieben,1,FDP
90,1,FDP
000,12,FDP
euro,19,FDP
steuertarif,1,FDP
steuerzahlerinnen,3,FDP
steuerzahler,3,FDP
gestreckt,1,FDP
arbeitnehmerinnen,4,FDP
mittlerweile,1,FDP
steuerpflichtige,1,FDP
1,10,FDP
fache,1,FDP
durchschnittlichen,1,FDP
bruttogehalts,1,FDP
zahlen,3,FDP
momentan,1,FDP
1965,1,FDP
18,3,FDP
fachen,1,FDP
klar,10,FDP
durchschnittsverdienerin,1,FDP
durchschnittsverdiener,1,FDP
fast,1,FDP
höchsten,2,FDP
steuersatz,1,FDP
rädern,1,FDP
automatische,2,FDP
steuererhöhungen,2,FDP
quasi,2,FDP
automatischen,2,FDP
regelmäßige,4,FDP
anpassung,5,FDP
steuertarifs,1,FDP
einschließlich,5,FDP
freibeträge,3,FDP
freigrenzen,1,FDP
pauschbeträge,1,FDP
gehältern,1,FDP
räder,1,FDP
korrektur,1,FDP
einkommensteuertarifs,1,FDP
kommenden,2,FDP
erhebliche,1,FDP
mehrbelastungen,1,FDP
solidaritätszuschlag,3,FDP
versprochen,2,FDP
komplett,3,FDP
bleibt,18,FDP
dauer,5,FDP
angelegte,3,FDP
sondersteuer,1,FDP
2019,1,FDP
lief,1,FDP
solidarpakt,1,FDP
erhebung,3,FDP
solidaritätszuschlags,2,FDP
rechtfertigen,1,FDP
anhaltende,1,FDP
30,2,FDP
wiederherstellung,2,FDP
einheit,2,FDP
verspielt,1,FDP
vertrauen,8,FDP
frage,2,FDP
glaubwürdigkeit,1,FDP
zuletzt,1,FDP
hierbei,6,FDP
betroffenen,9,FDP
mittelständischen,1,FDP
wirtschafts,1,FDP
arbeitsmarktpolitik,1,FDP
einmalige,1,FDP
vermögensabgabe,1,FDP
wiederbelebung,3,FDP
mittelständisch,1,FDP
geprägte,1,FDP
hemmschuh,1,FDP
bekämpfung,8,FDP
liquidität,2,FDP
unabhängig,24,FDP
ertragslage,1,FDP
entzogen,2,FDP
hinblick,1,FDP
administrierbarkeit,1,FDP
zusammenhang,4,FDP
ergebende,1,FDP
easy,4,FDP
tax,5,FDP
einfache,1,FDP
steuererklärung,3,FDP
einführen,28,FDP
vorausgefüllte,1,FDP
digitalen,29,FDP
service,2,FDP
besteuerungsverfahren,1,FDP
umfangreicher,1,FDP
gesetzt,4,FDP
rentnerinnen,1,FDP
rentner,1,FDP
vollständige,4,FDP
steuererklärungen,1,FDP
vorbereitet,3,FDP
bestätigt,1,FDP
verarbeiteten,1,FDP
daten,21,FDP
angabe,1,FDP
zusätzlicher,4,FDP
pflichtangaben,1,FDP
finanzbehörden,1,FDP
steuerpflichtigen,2,FDP
frist,1,FDP
selbstverständlich,3,FDP
einklang,4,FDP
prinzip,6,FDP
datensouveränität,1,FDP
bürgerin,2,FDP
bürgers,1,FDP
freiwillige,5,FDP
angaben,1,FDP
freiwillig,4,FDP
steuerbescheide,1,FDP
fällen,3,FDP
wenigen,1,FDP
gegeben,2,FDP
bagatell,2,FDP
lenkungssteuern,2,FDP
schaumwein,1,FDP
zwischenerzeugnissteuer,1,FDP
biersteuer,1,FDP
kaffeesteuer,1,FDP
beibehaltung,1,FDP
verursacht,2,FDP
geringe,1,FDP
einnahmen,5,FDP
erleichterungen,1,FDP
homeoffice,6,FDP
vereinbarte,1,FDP
erhöhte,1,FDP
werbungskostenpauschale,1,FDP
gewähren,3,FDP
gestellte,1,FDP
büroausstattung,1,FDP
steuerfrei,1,FDP
hinaus,18,FDP
interesse,7,FDP
rechtssicherheit,6,FDP
rechtliche,6,FDP
tatsächlichen,3,FDP
gegebenheiten,1,FDP
angepasst,4,FDP
mobile,2,FDP
geltenden,3,FDP
vorschriften,3,FDP
angeglichen,1,FDP
doppelbesteuerung,5,FDP
renten,5,FDP
beweislastumkehr,1,FDP
zugunsten,4,FDP
rentenbezieherinnen,1,FDP
rentenbezieher,1,FDP
selbstständige,15,FDP
gefahr,6,FDP
größten,5,FDP
rentenkassen,1,FDP
finanzverwaltung,1,FDP
detaillierte,1,FDP
individuelle,4,FDP
berechnungen,1,FDP
